Randomly Generated Puzzle
log = ../logs/repair_random_log.txt
solution = ../logs/repair_solution.txt
seed = 16747340304863
wallOnOff = 1
forced_validity = 1
defaultRow = 12
defaultCol = 10
maxRows = 18
maxCols = 18
experiments = 30
evaluations = 10000
exit_on_converge = 1
number_converge_evals = 25
population_size = 100
number_of_children = 200
tournament_size_parent = 5
tournament_size_survival = 10
parent_selection_type = 4
survival_selection_type = 4
penalty_coefficient = 0.1
fitness_type = 3
survival_strategy = 2
mutation_rate = 0.1

Result Log


4500	0.6540384615384611	0.7692307692307693
4700	0.6494230769230771	0.7692307692307693
4900	0.6424999999999998	0.7884615384615384
5100	0.7171153846153847	0.7884615384615384
5300	0.6457692307692308	0.7884615384615384
5500	0.6524999999999997	0.8269230769230769
5700	0.6494230769230771	0.8076923076923077
5900	0.6863461538461543	0.8076923076923077
6100	0.6923076923076928	0.8076923076923077
6300	0.6603846153846158	0.8076923076923077
6500	0.6819230769230774	0.8076923076923077
6700	0.6494230769230773	0.8076923076923077
6900	0.710769230769231	0.8076923076923077
7100	0.6465384615384617	0.8269230769230769
7300	0.6503846153846152	0.8269230769230769
7500	0.7174999999999997	0.8076923076923077
7700	0.6932692307692305	0.8269230769230769
7900	0.6805769230769226	0.8269230769230769
8100	0.6624999999999999	0.8269230769230769
8300	0.6834615384615382	0.8269230769230769
8500	0.6921153846153844	0.8269230769230769
8700	0.6921153846153844	0.8269230769230769
8900	0.6963461538461536	0.8269230769230769
9100	0.6796153846153844	0.8269230769230769
9300	0.6551923076923079	0.8269230769230769
9500	0.6415384615384617	0.8269230769230769
9700	0.6238461538461538	0.8269230769230769
9900	0.7263461538461538	0.8461538461538461

Run 5
100	0.31857142857142834	0.6233766233766234
300	0.44519480519480514	0.5714285714285714
500	0.5231168831168829	0.6363636363636364
700	0.5701298701298702	0.6883116883116883
900	0.6101298701298702	0.7142857142857143
1100	0.6127272727272723	0.7272727272727273
1300	0.6516883116883117	0.7402597402597403
1500	0.6801298701298697	0.7662337662337663
1700	0.6419480519480517	0.7662337662337663
1900	0.668051948051948	0.7662337662337663
2100	0.7181818181818178	0.7792207792207793
2300	0.7080519480519476	0.7922077922077922
2500	0.7206493506493508	0.8051948051948052
2700	0.7238961038961045	0.8311688311688312
2900	0.7388311688311692	0.8441558441558441
3100	0.7122077922077924	0.8441558441558441
3300	0.7518181818181817	0.8571428571428571
3500	0.749480519480519	0.8961038961038961
3700	0.7863636363636358	0.8961038961038961
3900	0.794025974025974	0.9090909090909091
4100	0.7741558441558439	0.9090909090909091
4300	0.7629870129870129	0.9090909090909091
4500	0.801168831168831	0.9090909090909091
4700	0.8283116883116878	0.9090909090909091
4900	0.823376623376623	0.9090909090909091
5100	0.7811688311688308	0.922077922077922
5300	0.7624675324675324	0.922077922077922
5500	0.8279220779220775	0.922077922077922
5700	0.7994805194805197	0.922077922077922
5900	0.8336363636363636	0.935064935064935
6100	0.7566233766233769	0.935064935064935
6300	0.7789610389610389	0.935064935064935
6500	0.7857142857142861	0.948051948051948
